class,order,clade,thermal,n_species,coupling,coupling_thermal,coupling_human
Amphibia,ANURA,DICROGLOSSIDAE,Ectotherm,49,0.206937599637842,0.414803110074884,0.0891600172782397
Amphibia,ANURA,MEGOPHRYIDAE,Ectotherm,82,0.162238466350038,0.144182509944141,0.12266607461394
Amphibia,ANURA,MICROHYLIDAE,Ectotherm,22,0.416546531088205,0.917327721912875,0.0839852612477133
Amphibia,ANURA,RANIDAE,Ectotherm,109,0.122744435062609,0.281176313652136,0.044535288880692
Amphibia,ANURA,RHACOPHORIDAE,Ectotherm,72,0.150994452469698,0.225957253385373,0.128218048637102
Aves,ACCIPITRIFORMES,ACCIPITRIDAE,Endotherm,42,0.0675765476043231,0.190914839267827,0.00831151434759543
Aves,ANSERIFORMES,ANATIDAE,Endotherm,28,0.0666959584412112,0.0953238381850332,0.0194812343291817
Aves,COLUMBIFORMES,COLUMBIDAE,Endotherm,24,0.0750893422148093,0.201521968779608,0.0110048394179062
Aves,GALLIFORMES,PHASIANIDAE,Endotherm,57,0.0682954290001412,0.120148592398422,0.029987188097589
Aves,PASSERIFORMES,CORVIDAE,Endotherm,26,0.0705755861577088,0.120089262565496,0.0171932724630595
Aves,PASSERIFORMES,EMBERIZIDAE,Endotherm,21,0.13952772907695,0.146171423220849,0.0461166365634965
Aves,PASSERIFORMES,FRINGILLIDAE,Endotherm,34,0.103361069002782,0.0605249502606879,0.0543096204788717
Aves,PASSERIFORMES,MUSCICAPIDAE,Endotherm,63,0.0555385376126083,0.0930281767744849,0.0143374425050157
Aves,PASSERIFORMES,SYLVIIDAE,Endotherm,60,0.0647208761446295,0.0716543033240202,0.0136101258413528
Aves,PASSERIFORMES,TIMALIIDAE,Endotherm,81,0.151828512695285,0.360991835293726,0.0254290139626992
Aves,PASSERIFORMES,TURDIDAE,Endotherm,23,0.222242009870146,0.383367296669503,0.123351673212243
Aves,PICIFORMES,PICIDAE,Endotherm,20,0.0999945224401221,0.224789833988402,0.0547011474522686
Aves,STRIGIFORMES,STRIGIDAE,Endotherm,22,0.090565338200371,0.30688535824954,0.0103275630045222
Mammalia,CARNIVORA,MUSTELIDAE,Endotherm,20,0.0548474093115103,0.0870544309497356,0.0214491647327056
Mammalia,CHIROPTERA,RHINOLOPHIDAE,Endotherm,24,0.103736570538141,0.183158776898287,0.0328597251327428
Mammalia,CHIROPTERA,VESPERTILIONIDAE,Endotherm,84,0.0408509397086986,0.0846019091618342,0.018910241925227
Mammalia,EULIPOTYPHLA,SORICIDAE,Endotherm,60,0.0937890303879636,0.218907106134925,0.0325494719421377
Mammalia,LAGOMORPHA,OCHOTONIDAE,Endotherm,22,0.246096047680626,0.398624583696942,0.166297299061427
Mammalia,RODENTIA,CRICETIDAE,Endotherm,70,0.0965041871049959,0.174456876275032,0.0346059413612741
Mammalia,RODENTIA,MURIDAE,Endotherm,58,0.0518706426370356,0.154387163512118,0.0330366091550771
Mammalia,RODENTIA,SCIURIDAE,Endotherm,49,0.0939385919709594,0.34575600626093,0.0220264274338469
Reptilia,SQUAMATA,AGAMIDAE,Ectotherm,57,0.216487434693799,0.378793740684945,0.122972399200726
Reptilia,SQUAMATA,COLUBRIDAE,Ectotherm,82,0.0811475452767027,0.232483844109325,0.00871576774499545
Reptilia,SQUAMATA,GEKKONIDAE,Ectotherm,37,0.0671412541951555,0.148804615149433,0.0443550513436427
Reptilia,SQUAMATA,LACERTIDAE,Ectotherm,31,0.246410704865897,0.37756408487429,0.0708453439084095
Reptilia,SQUAMATA,NATRICIDAE,Ectotherm,59,0.0782476138402711,0.169026739308925,0.0454745826718858
Reptilia,SQUAMATA,SCINCIDAE,Ectotherm,48,0.0872802165774131,0.159853034999077,0.0646135502219706
Reptilia,SQUAMATA,VIPERIDAE,Ectotherm,39,0.187729394170466,0.674346148929505,0.0554413730797333
